"BehaviorSpace results (NetLogo 5.3.1)"
"MyNamingGame.nlogo"
"experiment"
"09/02/2016 18:26:08:034 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","centrality","Robots?","[step]","stat_1000_robot_percent","stat_1000_remaining_colors","stat_2500_robot_percent","stat_2500_remaining_colors","stat_5000_robot_percent","stat_5000_remaining_colors","stat_gen_robot_percent"
"182","""random""","2","23081","11.764705882352942","4","5.882352941176471","4","5.882352941176471","4","0"
"179","""random""","2","35800","26.470588235294116","6","38.23529411764706","4","5.882352941176471","4","0"
"187","""random""","2","9962","14.705882352941176","7","2.9411764705882355","3","55.88235294117647","2","100"
"186","""random""","2","18285","26.470588235294116","6","8.823529411764707","5","26.470588235294116","4","0"
"188","""random""","2","14588","14.705882352941176","5","20.58823529411765","2","29.41176470588235","3","0"
"191","""random""","2","5301","8.823529411764707","5","20.58823529411765","4","94.11764705882354","2","100"
"192","""random""","2","5024","8.823529411764707","7","2.9411764705882355","5","5.882352941176471","2","0"
"190","""random""","2","14821","14.705882352941176","6","20.58823529411765","4","14.705882352941176","4","0"
"194","""random""","2","3529","8.823529411764707","6","5.882352941176471","3","0","1","0"
"189","""random""","2","23333","47.05882352941177","4","52.94117647058823","3","55.88235294117647","3","100"
"193","""random""","2","10739","20.58823529411765","6","17.647058823529413","3","20.58823529411765","3","0"
"196","""random""","2","5870","47.05882352941177","6","82.3529411764706","4","85.29411764705883","3","100"
"198","""random""","2","4253","41.1764705882353","5","23.529411764705884","2","0","1","0"
"197","""random""","2","7773","35.294117647058826","4","11.764705882352942","3","14.705882352941176","2","0"
"201","""random""","15","829","100","1","100","1","100","1","100"
"202","""random""","15","1143","94.11764705882354","3","100","1","100","1","100"
"203","""random""","15","1888","88.23529411764706","4","100","1","100","1","100"
"200","""random""","2","4105","38.23529411764706","6","8.823529411764707","3","0","1","0"
"199","""random""","2","6248","11.764705882352942","6","35.294117647058826","5","85.29411764705883","3","100"
"205","""random""","15","1018","100","2","100","1","100","1","100"
"204","""random""","15","2164","94.11764705882354","3","100","1","100","1","100"
"207","""random""","15","1336","88.23529411764706","5","100","1","100","1","100"
"206","""random""","15","2154","94.11764705882354","3","100","1","100","1","100"
"208","""random""","15","1782","70.58823529411765","5","100","1","100","1","100"
"209","""random""","15","1764","88.23529411764706","5","100","1","100","1","100"
"210","""random""","15","1626","82.3529411764706","4","100","1","100","1","100"
"212","""random""","15","1618","94.11764705882354","3","100","1","100","1","100"
"211","""random""","15","3167","67.6470588235294","4","85.29411764705883","3","100","1","100"
"213","""random""","15","1602","94.11764705882354","4","100","1","100","1","100"
"214","""random""","15","1949","91.17647058823529","4","100","1","100","1","100"
"215","""random""","15","1925","94.11764705882354","4","100","1","100","1","100"
"216","""random""","15","2596","88.23529411764706","3","97.05882352941177","2","100","1","100"
"218","""random""","15","1420","85.29411764705883","4","100","1","100","1","100"
"217","""random""","15","2011","88.23529411764706","4","100","1","100","1","100"
"221","""random""","15","1112","97.05882352941177","2","100","1","100","1","100"
"220","""random""","15","1490","97.05882352941177","2","100","1","100","1","100"
"219","""random""","15","1802","94.11764705882354","3","100","1","100","1","100"
"223","""random""","15","1395","97.05882352941177","3","100","1","100","1","100"
